2026-06-15 21:19:46 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-15 21:19:46 | INFO     | Dummy-4         | [OCRManager] OCR thread da khoi dong.
2026-06-15 21:22:58 | INFO     | MainThread      | [LoggerManager] He thong logging da duoc khoi tao.
2026-06-15 21:22:58 | INFO     | MainThread      | [ConfigManager] Da nap toan bo cau hinh he thong.
2026-06-15 21:25:17 | INFO     | MainThread      | [LoggerManager] He thong logging da duoc khoi tao.
2026-06-15 21:25:17 | INFO     | MainThread      | [ConfigManager] Da nap toan bo cau hinh he thong.
2026-06-15 21:25:17 | INFO     | MainThread      | [MainWindow] He thong khoi dong thanh cong.
2026-06-15 21:25:17 | INFO     | Dummy-1         | [DatabaseManager] Database thread da khoi dong.
2026-06-15 21:25:17 | INFO     | Dummy-2         | [EmailManager] Email thread da khoi dong.
2026-06-15 21:25:22 | ERROR    | Dummy-3         | [DetectionManager] Loi nap model YOLO: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.
2026-06-15 21:25:22 | INFO     | Dummy-3         | [DetectionManager] Detection thread da khoi dong.
2026-06-15 21:25:24 | ERROR    | Dummy-4         | [OCRManager] Khong the khoi tao EasyOCR: [WinError 1114] A dynamic link library (DLL) initialization routine failed. Error loading "D:\gttm3\traffic_ai_project\project\.venv\Lib\site-packages\torch\lib\c10.dll" or one of its dependencies.. OCR se tra ve UNKNOWN.
2026-06-15 21:25:24 | INFO     | Dummy-4         | [OCRManager] OCR thread da khoi dong.
2026-06-15 21:30:02 | INFO     | MainThread      | [LoggerManager] He thong logging da duoc khoi tao.
2026-06-15 21:30:02 | INFO     | MainThread      | [ConfigManager] Da nap toan bo cau hinh he thong.
2026-06-15 21:30:03 | INFO     | MainThread      | [MainWindow] He thong khoi dong thanh cong.
2026-06-15 21:30:05 | INFO     | Dummy-1         | [EmailManager] Email thread da khoi dong.
2026-06-15 21:30:05 | INFO     | Dummy-2         | [DatabaseManager] Database thread da khoi dong.
