2026-06-17 14:45:25 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#18 (motorcycle) frame#898
2026-06-17 14:45:26 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#33 (car) frame#918
2026-06-17 14:45:26 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#43 (person) frame#918
2026-06-17 14:45:26 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#43 (person) frame#918
2026-06-17 14:45:26 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#45 (motorcycle) frame#919
2026-06-17 14:45:26 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#46 (bus) frame#928
2026-06-17 14:45:26 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#45 (motorcycle) frame#939
2026-06-17 14:45:26 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#44 (motorcycle) frame#944
2026-06-17 14:45:26 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#46 (car) frame#944
2026-06-17 14:45:27 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#47 (car) frame#956
2026-06-17 14:45:27 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#47 (car) frame#964
2026-06-17 14:45:27 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#26 (person) frame#970
2026-06-17 14:45:28 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#48 (person) frame#977
2026-06-17 14:45:28 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#49 (motorcycle) frame#985
2026-06-17 14:45:28 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#48 (person) frame#992
2026-06-17 14:45:29 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#50 (car) frame#1029
2026-06-17 14:45:30 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#51 (bus) frame#1036
2026-06-17 14:50:05 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#1 (person) frame#1
2026-06-17 14:50:05 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#2 (motorcycle) frame#1
2026-06-17 14:50:05 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#3 (motorcycle) frame#1
2026-06-17 14:50:05 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#1 (person) frame#13
2026-06-17 14:50:05 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#2 (motorcycle) frame#13
2026-06-17 14:50:06 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#3 (motorcycle) frame#43
2026-06-17 14:50:06 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#5 (car) frame#48
2026-06-17 14:50:09 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#7 (car) frame#140
2026-06-17 14:50:10 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#8 (car) frame#162
2026-06-17 14:50:13 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#10 (motorcycle) frame#257
2026-06-17 14:50:13 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#11 (bus) frame#259
2026-06-17 14:50:13 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#10 (motorcycle) frame#262
2026-06-17 14:50:14 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#13 (person) frame#269
2026-06-17 14:50:14 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#1 (person) frame#298
2026-06-17 14:50:17 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#18 (motorcycle) frame#369
2026-06-17 14:50:20 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#1 (motorcycle) frame#468
2026-06-17 14:50:21 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#20 (person) frame#497
2026-06-17 14:50:21 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#19 (person) frame#499
2026-06-17 14:50:22 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#19 (person) frame#515
2026-06-17 14:50:22 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#20 (motorcycle) frame#515
2026-06-17 14:50:24 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#21 (person) frame#577
2026-06-17 14:50:24 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#21 (person) frame#588
2026-06-17 14:50:24 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#1 (motorcycle) frame#598
2026-06-17 14:50:26 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#18 (motorcycle) frame#659
2026-06-17 14:50:27 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#18 (motorcycle) frame#669
2026-06-17 14:50:28 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#27 (motorcycle) frame#681
2026-06-17 14:50:28 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#27 (motorcycle) frame#712
2026-06-17 14:50:33 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#30 (car) frame#3
2026-06-17 14:50:33 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#29 (car) frame#12
2026-06-17 14:50:34 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#31 (car) frame#42
2026-06-17 14:50:34 | INFO     | MainThread      | [ViolationManager] [De vach dung] Track#30 (car) frame#45
2026-06-17 14:50:34 | INFO     | MainThread      | [ViolationManager] [Vuot den do] Track#30 (car) frame#46
2026-06-17 14:50:34 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#30 (car) frame#48
2026-06-17 14:50:34 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#32 (car) frame#55
2026-06-17 14:50:34 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#32 (car) frame#56
2026-06-17 14:50:35 | INFO     | MainThread      | [ViolationManager] [De vach dung] Track#29 (car) frame#76
2026-06-17 14:50:35 | INFO     | MainThread      | [ViolationManager] [Vuot den do] Track#29 (car) frame#77
2026-06-17 14:50:35 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#33 (car) frame#82
2026-06-17 14:50:35 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#34 (person) frame#84
2026-06-17 14:50:36 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#31 (car) frame#101
2026-06-17 14:50:36 | INFO     | MainThread      | [ViolationManager] [De vach dung] Track#31 (car) frame#102
2026-06-17 14:50:36 | INFO     | MainThread      | [ViolationManager] [Vuot den do] Track#31 (car) frame#104
2026-06-17 14:50:40 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#35 (car) frame#207
2026-06-17 14:50:40 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#36 (car) frame#232
2026-06-17 14:50:41 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#35 (car) frame#257
2026-06-17 14:50:41 | INFO     | MainThread      | [ViolationManager] [De vach dung] Track#35 (car) frame#259
2026-06-17 14:50:41 | INFO     | MainThread      | [ViolationManager] [Vuot den do] Track#35 (car) frame#260
2026-06-17 14:50:41 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#37 (car) frame#260
2026-06-17 14:50:41 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#37 (car) frame#262
2026-06-17 14:50:42 | INFO     | MainThread      | [ViolationManager] [De vach dung] Track#36 (car) frame#281
2026-06-17 14:50:42 | INFO     | MainThread      | [ViolationManager] [Vuot den do] Track#36 (car) frame#282
2026-06-17 14:50:42 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#38 (car) frame#286
2026-06-17 14:50:42 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#39 (car) frame#286
2026-06-17 14:50:43 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#43 (car) frame#324
2026-06-17 14:50:43 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#42 (bus) frame#325
2026-06-17 14:50:43 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#39 (car) frame#325
2026-06-17 14:50:44 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#42 (bus) frame#328
2026-06-17 14:50:44 | INFO     | MainThread      | [ViolationManager] [De vach dung] Track#38 (car) frame#332
2026-06-17 14:50:44 | INFO     | MainThread      | [ViolationManager] [De vach dung] Track#39 (car) frame#332
2026-06-17 14:50:44 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#38 (bus) frame#334
2026-06-17 14:50:44 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#40 (car) frame#336
2026-06-17 14:50:44 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#43 (car) frame#354
2026-06-17 14:50:45 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#44 (car) frame#357
2026-06-17 14:50:45 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#45 (person) frame#361
2026-06-17 14:50:45 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#45 (person) frame#366
2026-06-17 14:50:45 | INFO     | MainThread      | [ViolationManager] [De vach dung] Track#40 (car) frame#373
2026-06-17 14:50:45 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#46 (car) frame#374
2026-06-17 14:50:45 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#47 (person) frame#378
2026-06-17 14:50:46 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#44 (car) frame#388
2026-06-17 14:50:46 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#48 (car) frame#398
2026-06-17 14:50:46 | INFO     | MainThread      | [ViolationManager] [De vach dung] Track#44 (car) frame#398
2026-06-17 14:50:46 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#48 (car) frame#400
2026-06-17 14:50:46 | INFO     | MainThread      | [ViolationManager] [Di nguoc chieu] Track#49 (car) frame#404
2026-06-17 14:50:47 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#49 (car) frame#426
2026-06-17 14:50:47 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#50 (person) frame#429
2026-06-17 14:50:47 | INFO     | MainThread      | [ViolationManager] [Di sai lan] Track#51 (person) frame#432
